smiles,Reactivity
CC[Si](CC)(CC)OC(C)(C)C1CCC2(C)C=CCC(C)C2C1,1.0
C=C1CCC2CC1C2(C)C,1.0
COc1cccc(C2=CCCCC2(C)O)c1,1.0
O=c1[nH]cnc2c1ncn2C1OC(CO)C(O)C1O,1.0
Oc1cccc2ccccc12,0.0
COc1ccc(C(=O)c2ccccc2)c(O)c1,0.0
O=C(O)c1cc2c(cc1C(=O)O)C(=O)c1ccccc1C2=O,0.0
CC(C)N=C=NC(C)C,0.0
NC1=NC(=O)C(=Cc2ccc(O)cc2)S1,0.0
Oc1ccc(O)cc1,0.0
CC1=CCC2CC1C2(C)C,1.0
O=C1c2ccccc2C(=O)c2c(Cl)ccc(Cl)c21,0.0
Cc1cccc2ncccc12,1.0
CC(C)(N)c1ccc2ccccc2c1,0.0
CCN(C(C)C)C(C)C,1.0
Ic1ccc(C(=C(c2ccc(I)cc2)c2ccc(I)cc2)c2ccc(I)cc2)cc1,0.0
CCc1ccc(C)cc1,1.0
CN1CCCC1=O,1.0
Cc1ccccc1,1.0
O=C1C=CC(=O)c2cc3ccccc3cc21,0.0
c1ccc2c(c1)Cc1ccccc1-2,1.0
COc1ccc2nc(C)ccc2c1,1.0
COC(=O)Cc1ccc(-c2ccccc2)cc1,1.0
c1ccc(-n2c(-c3cc(-c4nc5ccccc5n4-c4ccccc4)cc(-c4nc5ccccc5n4-c4ccccc4)c3)nc3ccccc32)cc1,0.0
O=C1c2ccccc2-c2ccc(Br)cc21,0.0
c1ccc(Nc2ccc3ccccc3c2)cc1,0.0
c1ccc2cc(-c3ccc4ccccc4c3)ccc2c1,0.0
CC1(C)CCCC2(C)C1CCC1(C)OCCC12,1.0
NC1CC1,0.0
O=C1c2ccccc2C(=O)C1(O)O,0.0
C1C2CC3CC1CC(C2)C3,1.0
CCc1ccc(C(C)=O)cc1,1.0
CC(=O)c1ccccn1,0.0
COc1ccc(C)cc1,1.0
O=C(c1ccccc1)C(F)(F)F,0.0
CC1(O)CCCC=C1c1ccccc1,1.0
O=C(c1ccccc1)c1ccc2ccccc2c1,0.0
COC(=O)C(C)c1ccc(CC(C)C)cc1,1.0
O=C(Cc1cc2ccccc2s1)c1ccccc1,1.0
Cc1cc(C)cc(C(C)(C)C)c1,1.0
O=c1cc(-c2ccccc2)oc2cc(O)c(O)c(O)c12,0.0
CC(C)(C)c1ccc2ccc(C(C)(C)C)cc2c1,0.0
Brc1ccc(-c2ccccc2)cc1,0.0
O=Cc1ccc(-c2cc(-c3ccc(C=O)cc3)c(-c3ccc(C=O)cc3)cc2-c2ccc(C=O)cc2)cc1,0.0
CC(C)(C)c1ccc(C=O)cc1,0.0
CCOC(=O)C1(C)CCCC2(C)C3CCC4(C)CC3(CCC12)CC4=O,1.0
Cc1ccc(CC(=O)c2ccc(C)cc2)cc1,1.0
CC(=O)OC1(C)CCC2C(C)(C)C3CC21CCC3C,1.0
CSc1ccccc1,0.0
Clc1ccc2c(c1)Cc1cc(Cl)ccc1-2,1.0
COc1ccnc2c1ccc1c(OC)ccnc12,0.0
CC1=CCCC(C)(C)C12CCC(C)O2,1.0
c1ccc2cc(-c3cc4ccccc4[nH]3)ccc2c1,0.0
c1ccc2c(c1)ccc1c3ccccc3ccc21,0.0
O=C(CBr)OCc1ccccc1,1.0
CCc1ccc2nc(-c3ccccc3)oc2c1,1.0
Oc1cc2ccccc2c(-c2c(O)c(O)cc3ccccc23)c1O,0.0
CC(=O)OC(C)(C)C1CCC(C)C2=C(C1)C(C)CC2,1.0
O=C1c2c(Cl)ccc(Cl)c2C(=O)c2c(Cl)ccc(Cl)c21,0.0
CC(=O)OC1CCC2(C)C(CCC3C4CCC(=O)C4(C)CCC32)C1,1.0
O=C(O)c1ccc2ccc3cccc4ccc1c2c34,0.0
Brc1ccc2c(c1)Cc1ccccc1-2,1.0
O=C(OC1CC2CCC1C2)c1ccc(Cl)cc1,1.0
CCc1ccc(Br)cc1,1.0
COc1ccc(CCCO)cc1,1.0
COc1ccc(C)c(C)c1,1.0
O=C1CNCCN1,0.0
O=C1C=CC(=O)c2c(O)c(Cl)c(Cl)c(O)c21,0.0
COc1cccc(C)c1,1.0
Cc1cc2ccccc2s1,1.0
CCc1ccc(Cl)cc1,1.0
Nc1ccc(F)nc1,0.0
CC1=C(C)C(=O)CCC1,1.0
Cc1ccc2ncccc2c1,1.0
O=C(O)c1ccc2c(c1)C(=O)c1ccccc1C2=O,0.0
Cc1ccc2cccc(C)c2n1,1.0
c1ccc2c(c1)ccc1c3ccccc3[nH]c21,0.0
Nc1nc(Cl)c2[nH]cnc2n1,0.0
Brc1ccc2sc3ccc(Br)cc3c2c1,0.0
O=C(Cl)C1CCCCC1,0.0
CCc1ccc(C2CCCCC2)cc1,1.0
Fc1ccc2c(c1)Cc1ccccc1-2,1.0
O=C(c1ccc(O)cc1)c1ccc(Cl)cc1,0.0
Fc1ccccc1-c1ccccc1,0.0
O=[N+]([O-])c1ccc(Br)nc1,0.0
OCc1cccnc1,1.0
COc1cc(C)ccc1C,1.0
COc1ccc(C(=O)O)cc1,0.0
Nc1ccc(N)c2c1C(=O)c1c(N)ccc(N)c1C2=O,0.0
Cc1ccc(Cl)cc1,1.0
CCOC(=O)c1ccc(C#N)cc1,0.0
COc1ccc(CC#N)cc1,1.0
Clc1nc(Cl)c2ccccc2n1,0.0
Nc1ccc(O)c2c1C(=O)c1ccccc1C2=O,0.0
C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,1.0
CCN1CCCC1=O,1.0
Cc1ccc(Oc2ccc(C)cc2)cc1,0.0
CCCc1ccccn1,1.0
O=C(ON1C(=O)CCC1=O)C1CCC(=O)N1C(=O)OCc1ccccc1,0.0
Nc1cccc2c1C(=O)c1ccccc1C2=O,0.0
Nc1c(O)ccc2ccccc12,0.0
Nc1ccc2ccc3c(N)ccc4ccc1c2c43,0.0
C=CC(=O)c1ccc2cc(N(C)C)ccc2c1,0.0
COC(=O)C1(NC(=O)c2ccccc2)CCCCC1,1.0
O=C1c2ccccc2C(=O)c2c1ccc(O)c2O,0.0
O=C(O)c1ccc2c3cccc4c(C(=O)O)ccc(c5cccc1c52)c43,0.0
CCC1(c2cnc[nH]2)Cc2ccccc2C1,0.0
O=S(=O)(O)c1cc(I)c(O)c2ncccc12,0.0
CC12CCC3C(CC=C4CC(O)CCC43C)C1CCC2=O,1.0
Nc1ccc(F)cc1,0.0
C1=C(c2ccccc2)CCCC1,1.0
CC1(C)C2=CCCC(C)(C)C23CCC1C3,1.0
Cc1ccc(N)cc1,1.0
CCc1ccc2c(c1)Cc1ccccc1-2,1.0
c1ccc(CCCc2ccccc2)cc1,1.0
Cc1cc2nc(-c3ccccc3)oc2cc1C,1.0
C=C(C)C1CC=C(C)CC1,1.0
O=C1c2ccccc2C(=O)c2c(Br)cccc21,0.0
CC12CCC3c4ccc(O)cc4CCC3C1CCC2=O,1.0
CCCCc1ccc(-c2ccccc2)cc1,1.0
CN(C)c1ccccc1,0.0
c1ccc(Cc2ccccn2)cc1,1.0
CCc1ccc(COC(=O)c2ccccc2)cc1,1.0
CN(CC(=O)O)C(=O)OC(C)(C)C,0.0
COc1ccc(C(C)C)cc1,1.0
C1=CCCCC1,1.0
C=C1C(=O)OC2CC3(C)CCCC(=C)C3CC12,0.0
Cc1c(C(=O)O)cccc1-c1ccc(OC(F)(F)F)cc1,1.0
C1CCC2CCCCC2C1,1.0
O=C(NC1CCCC1)c1ccccc1,0.0
CC(C)c1ccc(Br)cc1,1.0
Cc1ccc(C#N)cc1,1.0
CC1(C)CCCC2(C)C1CCC1(C)OC(=O)CC12,1.0
Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O,1.0
O=C1c2ccccc2-c2cc3ccccc3cc21,0.0
c1ccc2c(c1)Cc1ccccc1O2,1.0
CC1(C)c2ccccc2-c2ccccc21,0.0
CC(C)CCCOC(=O)c1ccccc1,1.0
CC1(O)CCCC=C1c1ccc(C(C)(C)O)cc1,1.0
O=c1cc(-c2ccccc2)oc2cc(O)cc(O)c12,0.0
Nc1nc(-c2ccc3ccccc3c2)cs1,0.0
COC(=O)CCc1ccc(Cl)cc1,1.0
O=C(Nc1ccccc1-c1ccccc1)C(=O)Nc1ccccc1-c1ccccc1,0.0
CC(=O)c1ccncc1,0.0
COC(=O)C1CCCCC1C(=O)OC,1.0
Nc1ccc(Cl)cc1,0.0
Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,0.0
ON=Cc1ccccc1,0.0
CCCc1ccccc1,1.0
Ic1ccc2c(c1)Cc1ccccc1-2,1.0
Nc1ccc2cc3ccccc3cc2c1,0.0
Oc1ccc(Br)c2cccnc12,0.0
CCc1ccc2cc(CC)ccc2c1,1.0
OC1(c2ccccc2)C=CCCC1,1.0
O=C(c1ccccc1)c1ccc(O)cc1O,0.0
[O-][n+]1ccc(Cl)cc1,0.0
O=C1CCCN1Cc1ccccc1,1.0
CC1=C(C)CCCC1,1.0
Nc1c(Oc2ccccc2)cc(O)c2c1C(=O)c1ccccc1C2=O,0.0
COc1cccc(OC)c1C,1.0
c1ccc2c(c1)CCO2,1.0
O=C(Cc1ccccc1)c1ccc(Cl)cc1,1.0
COC(=O)C12CCC(C)(C)CC1C1=CCC3C4(C)CCC(=O)C(C)(C)C4CCC3(C)C1(C)CC2,1.0
