HOMO-3/LUMO,HOMO-3/LUMO+1,HOMO-3/LUMO+2,HOMO-3/LUMO+3,HOMO-2/LUMO,HOMO-2/LUMO+1,HOMO-2/LUMO+2,HOMO-2/LUMO+3,HOMO-1/LUMO,HOMO-1/LUMO+1,HOMO-1/LUMO+2,HOMO-1/LUMO+3,HOMO/LUMO,HOMO/LUMO+1,HOMO/LUMO+2,HOMO/LUMO+3,mulliken_dipole_tot,mulliken_quadrupoles
0.42971,0.44771,0.46617,0.47344,0.4212,0.4392,0.45766,0.46493,0.4139,0.4319,0.45036,0.45763,0.38183,0.3998299999999999,0.41829,0.42556,2.4175,8.359310643827039
0.48954,0.53205,0.56583,0.57241,0.47157,0.51408,0.54786,0.55444,0.43195,0.47446,0.50824,0.51482,0.4130999999999999,0.4556099999999999,0.48939,0.49597,1.7836,1.1092865514975532
0.47418,0.50393,0.52352,0.5303899999999999,0.44239,0.47214,0.49173,0.4986,0.43287,0.46262,0.48221,0.48908,0.41141,0.44116,0.46075,0.46762,1.0167,2.781536196660639
0.40753,0.4253099999999999,0.46048,0.48424,0.38754,0.40532,0.44049,0.46425,0.37401,0.3917899999999999,0.42696,0.45072,0.34995,0.36773,0.4029,0.42666,1.7491,4.377029600082686
0.3995999999999999,0.41596,0.45242,0.47672,0.3854499999999999,0.40181,0.43827,0.46257,0.3730799999999999,0.38944,0.4259,0.4502,0.34491,0.36127,0.39773,0.42203,1.5212,4.1286434382252
0.4047,0.43528,0.45927,0.47962,0.3880699999999999,0.4186499999999999,0.44264,0.46299,0.35645,0.38703,0.41102,0.43137,0.33607,0.36665,0.39064,0.4109899999999999,2.0264,2.0130087944831905
0.38599,0.4070499999999999,0.4447899999999999,0.47011,0.36817,0.3892299999999999,0.4269699999999999,0.4522899999999999,0.35902,0.38008,0.4178199999999999,0.44314,0.33889,0.35995,0.39769,0.42301,3.0761,14.724170655535522
0.4263599999999999,0.42784,0.4447899999999999,0.48523,0.40153,0.40301,0.41996,0.4604,0.38888,0.39036,0.40731,0.44775,0.3795199999999999,0.381,0.3979499999999999,0.43839,2.086,5.98435552531209
0.46909,0.49645,0.5225500000000001,0.52847,0.4425,0.46986,0.49596,0.50188,0.42889,0.45625,0.48235,0.48827,0.40219,0.42955,0.45565,0.46157,1.4835,1.6663948531685602
0.50114,0.55267,0.57084,0.57736,0.4788699999999999,0.5304,0.54857,0.55509,0.44048,0.49201,0.51018,0.5166999999999999,0.41084,0.46237,0.4805399999999999,0.48706,1.7204,1.9650078167783456
0.48427,0.53383,0.53777,0.55045,0.47434,0.5239,0.52784,0.54052,0.4411699999999999,0.49073,0.4946699999999999,0.50735,0.4104299999999999,0.45999,0.4639299999999999,0.47661,1.7816,5.354161302513526
0.5182599999999999,0.53414,0.54548,0.5611200000000001,0.47117,0.48705,0.49839,0.51403,0.44611,0.46199,0.47333,0.48897,0.44076,0.45664,0.4679799999999999,0.48362,1.93,3.96927164267367
0.47955,0.51073,0.52398,0.53025,0.47735,0.5085299999999999,0.5217799999999999,0.52805,0.42341,0.45459,0.46784,0.47411,0.40372,0.4349,0.44815,0.45442,1.2835,3.2779750232930898
0.47617,0.48012,0.51797,0.5324,0.43539,0.43934,0.47719,0.49162,0.4155299999999999,0.4194799999999999,0.45733,0.4717599999999999,0.4035499999999999,0.4075,0.44535,0.4597799999999999,1.5027,2.5518402327209544
0.48349,0.4880899999999999,0.52433,0.53871,0.47701,0.48161,0.51785,0.53223,0.41737,0.42197,0.45821,0.47259,0.4029999999999999,0.4075999999999999,0.44384,0.4582199999999999,0.4968,1.6269130810628247
0.44613,0.45693,0.50192,0.5256500000000001,0.43193,0.4427299999999999,0.48772,0.51145,0.42788,0.4386799999999999,0.48367,0.5074,0.38725,0.3980499999999999,0.44304,0.46677,2.2679,5.424347519594715
0.45044,0.45165,0.4904,0.51779,0.43925,0.4404599999999999,0.47921,0.5065999999999999,0.4291,0.4303099999999999,0.46906,0.49645,0.38469,0.3859,0.4246499999999999,0.45204,1.8245,6.442222923287685
0.44453,0.46828,0.47318,0.50237,0.41666,0.4404099999999999,0.44531,0.4745,0.40844,0.43219,0.43709,0.46628,0.39053,0.41428,0.41918,0.44837,3.8411,10.372031312782148
