index,CAS,smiles,Mapped SMILES,Reactivity,Oxidation Site,Oxidation Site (one hot)
444,957-68-6,CC(=O)OCC1=C(C(=O)O)N2C(=O)C(N)C2SC1,[CH3:1][C:2](=[O:3])[O:4][CH2:5][C:6]1=[C:7]([C:8](=[O:9])[OH:10])[N:11]2[C:12](=[O:13])[CH:14]([NH2:15])[CH:16]2[S:17][CH2:18]1,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
445,82717-96-2,CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)O,[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH:6]([CH2:7][CH2:8][c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)[NH:15][CH:16]([CH3:17])[C:18](=[O:19])[OH:20],0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
447,1221722-10-6,Cc1c(C(=O)O)cccc1-c1ccc(OC(F)(F)F)cc1,[CH3:1][c:2]1[c:3]([C:4](=[O:5])[OH:6])[cH:7][cH:8][cH:9][c:10]1-[c:11]1[cH:12][cH:13][c:14]([O:15][C:16]([F:17])([F:18])[F:19])[cH:20][cH:21]1,1,1,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
448,130-95-0,C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,[CH2:1]=[CH:2][CH:3]1[CH2:4][N:5]2[CH2:6][CH2:7][CH:8]1[CH2:9][CH:10]2[CH:11]([OH:12])[c:13]1[cH:14][cH:15][n:16][c:17]2[cH:18][cH:19][c:20]([O:21][CH3:22])[cH:23][c:24]12,1,"3,4","[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
449,85721-33-1,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,[O:1]=[C:2]([OH:3])[c:4]1[cH:5][n:6]([CH:7]2[CH2:8][CH2:9]2)[c:10]2[cH:11][c:12]([N:13]3[CH2:14][CH2:15][NH:16][CH2:17][CH2:18]3)[c:19]([F:20])[cH:21][c:22]2[c:23]1=[O:24],0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
450,71125-38-7,Cc1cnc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)s1,[CH3:1][c:2]1[cH:3][n:4][c:5]([NH:6][C:7](=[O:8])[C:9]2=[C:10]([OH:11])[c:12]3[cH:13][cH:14][cH:15][cH:16][c:17]3[S:18](=[O:19])(=[O:20])[N:21]2[CH3:22])[s:23]1,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
451,40291-26-7,O=C(ON1C(=O)CCC1=O)C1CCC(=O)N1C(=O)OCc1ccccc1,[O:1]=[C:2]([O:3][N:4]1[C:5](=[O:6])[CH2:7][CH2:8][C:9]1=[O:10])[CH:11]1[CH2:12][CH2:13][C:14](=[O:15])[N:16]1[C:17](=[O:18])[O:19][CH2:20][c:21]1[cH:22][cH:23][cH:24][cH:25][cH:26]1,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
453,7632-00-0,O=N[O-].[Na+],[Na+:4].[O:1]=[N:2][O-:3],0,-1,"[0, 0, 0, 0]"
454,100-47-0,N#Cc1ccccc1,[N:1]#[C:2][c:3]1[cH:4][cH:5][cH:6][cH:7][cH:8]1,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0]"
455,106-51-4,O=C1C=CC(=O)C=C1,[O:1]=[C:2]1[CH:3]=[CH:4][C:5](=[O:6])[CH:7]=[CH:8]1,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0]"
456,123-31-9,Oc1ccc(O)cc1,[OH:1][c:2]1[cH:3][cH:4][c:5]([OH:6])[cH:7][cH:8]1,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0]"
457,371-40-4,Nc1ccc(F)cc1,[NH2:1][c:2]1[cH:3][cH:4][c:5]([F:6])[cH:7][cH:8]1,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0]"
458,1827-27-6,Nc1ccc(F)nc1,[NH2:1][c:2]1[cH:3][cH:4][c:5]([F:6])[n:7][cH:8]1,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0]"
460,34941-90-7,Fc1ccnc(F)c1,[F:1][c:2]1[cH:3][cH:4][n:5][c:6]([F:7])[cH:8]1,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0]"
461,622-31-1,ON=Cc1ccccc1,[OH:1][N:2]=[CH:3][c:4]1[cH:5][cH:6][cH:7][cH:8][cH:9]1,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
463,59-67-6,O=C(O)c1cccnc1,[O:1]=[C:2]([OH:3])[c:4]1[cH:5][cH:6][cH:7][n:8][cH:9]1,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
464,104-94-9,COc1ccc(N)cc1,[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([NH2:7])[cH:8][cH:9]1,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
465,360-97-4,NC(=O)c1[nH]cnc1N,[NH2:1][C:2](=[O:3])[c:4]1[nH:5][cH:6][n:7][c:8]1[NH2:9],0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
466,106-47-8,Nc1ccc(Cl)cc1,[NH2:1][c:2]1[cH:3][cH:4][c:5]([Cl:6])[cH:7][cH:8]1,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0]"
467,95-51-2,Nc1ccccc1Cl,[NH2:1][c:2]1[cH:3][cH:4][cH:5][cH:6][c:7]1[Cl:8],0,-1,"[0, 0, 0, 0, 0, 0, 0, 0]"
468,3641-13-2,Nc1n[nH]c(C(=O)O)n1,[NH2:1][c:2]1[n:3][nH:4][c:5]([C:6](=[O:7])[OH:8])[n:9]1,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
469,5350-93-6,Nc1ccc(Cl)nc1,[NH2:1][c:2]1[cH:3][cH:4][c:5]([Cl:6])[n:7][cH:8]1,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0]"
470,1121-76-2,[O-][n+]1ccc(Cl)cc1,[O-:1][n+:2]1[cH:3][cH:4][c:5]([Cl:6])[cH:7][cH:8]1,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0]"
471,18173-64-3,CC(C)(C)[Si](C)(C)O,[CH3:1][C:2]([CH3:3])([CH3:4])[Si:5]([CH3:6])([CH3:7])[OH:8],0,-1,"[0, 0, 0, 0, 0, 0, 0, 0]"
472,456-24-6,O=[N+]([O-])c1ccc(F)nc1,[O:1]=[N+:2]([O-:3])[c:4]1[cH:5][cH:6][c:7]([F:8])[n:9][cH:10]1,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
